input_gibberish,target_correct,shift_type
"tsfopytp[od,",radiotropism,L_RIGHT__R_RIGHT
[4p[q[ow5,propapist,L_UP__R_RIGHT
gqbewgqj34,handshaker,L_UP__R_LEFT
buvvszfd,buffware,L_DOWN__R_STAY
ozkzdindgzkkuc,palaeometallic,L_DOWN__R_LEFT
ubktubh,inlying,L_RIGHT__R_LEFT
foefonlikw,gorgonlike,L_LEFT__R_STAY
uswikifuxakkt,ideologically,L_LEFT__R_LEFT
maxk.wnxw,macilence,L_LEFT__R_DOWN
c9j0o8jdhgzf8hdxx,complimentariness,L_DOWN__R_UP
oeiaueokabw,proairplane,L_LEFT__R_LEFT
cdxilvdfizdf,desilverizer,L_DOWN__R_STAY
"[p,p;ptu",pomology,L_UP__R_RIGHT
vuikibcekkust,violoncellist,L_STAY__R_LEFT
trdidyinlrnrdd,resistibleness,L_RIGHT__R_STAY
jrcsvpts;;s,hexacoralla,L_RIGHT__R_RIGHT
o4y4u3b5,prurient,L_UP__R_LEFT
drj8jsvy8hr,semimachine,L_RIGHT__R_UP
aaxeajwhr8zw,sacramentize,L_LEFT__R_UP
lsndf,owner,L_DOWN__R_DOWN
nksk,nidi,L_LEFT__R_DOWN
hzbzfigd,hagarite,L_DOWN__R_STAY
wyo34wykogy435,supersulphuret,L_UP__R_LEFT
fdxolugd,resolute,L_DOWN__R_STAY
1yqku5tk3ww,qualityless,L_UP__R_LEFT
nibidekogiys,monodelphous,L_STAY__R_LEFT
itygivrtsvibr,orthoceracone,L_RIGHT__R_LEFT
wtnogibuq,symphonia,L_UP__R_LEFT
[prvw;;u,potbelly,L_LEFT__R_RIGHT
"5jw,h",tusky,L_UP__R_DOWN
ahfeawx7j,angraecum,L_LEFT__R_UP
metamlr;nljs,metamorphous,L_STAY__R_DOWN
nudvytbsyytr,miscurvature,L_RIGHT__R_LEFT
ixophofond,isophorone,L_DOWN__R_STAY
si[ercargpsjo[,supercargoship,L_STAY__R_RIGHT
imdeoxropmws,unfrictioned,L_LEFT__R_RIGHT
",jfcnknd",kurchine,L_DOWN__R_DOWN
czkuozxg,calipash,L_DOWN__R_LEFT
",i;q55pow,",mulattoism,L_UP__R_RIGHT
xibcpmxgzb;d,subconstable,L_DOWN__R_RIGHT
djnlndvjtr.h,subobscurely,L_RIGHT__R_DOWN
vfdgg,frett,L_DOWN__R_STAY
u78cdv7o,juiceful,L_DOWN__R_UP
;nla;nammlnkjm,phosphammonium,L_LEFT__R_DOWN
phqlqd4odo4qdin3,phalacrocoracine,L_UP__R_STAY
ybubrweeyoruib,uninterruption,L_LEFT__R_LEFT
",acrp[pdomae",macropodinae,L_STAY__R_RIGHT
mlnt,jong,L_UP__R_DOWN
",zgzbpifo",matagouri,L_DOWN__R_RIGHT
tierbebignute,toernebohmite,L_STAY__R_LEFT
sfbrbyuyuiydbrdd,adventitiousness,L_RIGHT__R_LEFT
ap;irewam,solutrean,L_LEFT__R_RIGHT
ni54ieia3,nitridize,L_UP__R_STAY
d70rtv9j0orc,supercomplex,L_RIGHT__R_UP
r;qwjomt;u,flashingly,L_UP__R_RIGHT
dk;tlte,diptote,L_STAY__R_DOWN
3sdiwo4,excisor,L_UP__R_STAY
polypit34ouw,polypigerous,L_UP__R_STAY
ysggrtrl,tafferel,L_RIGHT__R_STAY
unpwepwnsixulae,unperpendicular,L_LEFT__R_STAY
veerabke,veerable,L_STAY__R_LEFT
jnsw.ahknf,undelaying,L_LEFT__R_DOWN
r;rvytp[;sc,electroplax,L_RIGHT__R_RIGHT
[utryphrmpid,pyretogenous,L_RIGHT__R_RIGHT
8j09d8hhhrdd,imposingness,L_RIGHT__R_UP
7bt97,uvrou,L_RIGHT__R_UP
xvzndgizn,svanetian,L_DOWN__R_STAY
"br.bry.k,r",velvetlike,L_RIGHT__R_DOWN
;stsflclhts;nrt,paradoxographer,L_RIGHT__R_DOWN
vindbgzguib,fomentation,L_DOWN__R_LEFT
d8oirt,silker,L_RIGHT__R_UP
vnsnfs.s,chandala,L_RIGHT__R_DOWN
sggosmvrt,affiancer,L_RIGHT__R_RIGHT
[stsrmrdoxr,paraenesize,L_RIGHT__R_RIGHT
9vdfgy97bygv7o,overthoughtful,L_DOWN__R_UP
sgyttabce,shuttance,L_STAY__R_LEFT
4qeq4nqb,radarman,L_UP__R_LEFT
im;qttomt,unlagging,L_UP__R_RIGHT
l;knklnq53e,opinionated,L_UP__R_DOWN
undomm3nwu4q53,uncommensurate,L_UP__R_STAY
xdfv8dhg8zo,serviential,L_DOWN__R_UP
diar,fust,L_LEFT__R_RIGHT
cdcunyx,decimus,L_DOWN__R_LEFT
soessartute,spessartite,L_STAY__R_LEFT
q4dhieiqd3q3,archidiaceae,L_UP__R_STAY
omtemtopma;otu,intentionality,L_STAY__R_RIGHT
skxte,sixte,L_STAY__R_DOWN
wyne3wmowiw,syndesmosis,L_UP__R_STAY
hythrib,gurgeon,L_RIGHT__R_LEFT
ntppl;rdd,brookless,L_RIGHT__R_RIGHT
osvyh9dyrths,lachnosterna,L_RIGHT__R_UP
3085yqoqj8d,epithalamic,L_UP__R_UP
mpmawepvoprox,nonaerobiotic,L_LEFT__R_RIGHT
jq8e3hwy80,maidenship,L_UP__R_UP
ybfrdvrbfunkr,undescendible,L_RIGHT__R_LEFT
8hrgg8vsv8y6,inefficacity,L_RIGHT__R_UP
lrl.lfkar,otologist,L_LEFT__R_DOWN
kzbuzkugt,labiality,L_DOWN__R_LEFT
imerstosn;rmrdd,unweariableness,L_RIGHT__R_RIGHT
.kldermka,liodermia,L_STAY__R_DOWN
xgeininwrwe,chromometer,L_LEFT__R_LEFT
w5o4klint,storkling,L_UP__R_STAY
mrhslodvopr,megaloscope,L_RIGHT__R_STAY
mecnktarkstkcan,mechitaristican,L_STAY__R_DOWN
sr9h8sh,aeonian,L_RIGHT__R_UP
houxdcozg,housecoat,L_DOWN__R_STAY
dh3dh3h35,chechehet,L_UP__R_STAY
foddrtysypt,dissertator,L_RIGHT__R_RIGHT
bdl;nzbkxg,geophagist,L_DOWN__R_DOWN
unswekinf,underking,L_LEFT__R_STAY
0ewywha9e,prehensor,L_LEFT__R_UP
xgdzfzgd,stearate,L_DOWN__R_STAY
ogi5in354ud,photometric,L_UP__R_LEFT
.hwkw54q5q,lysistrata,L_UP__R_DOWN
0aray8007s,parahippus,L_STAY__R_UP
swqam,dewan,L_LEFT__R_RIGHT
wdy8aq3qd3q3,schizaeaceae,L_UP__R_UP
jnclm;jtab.e,uncomputable,L_STAY__R_DOWN
8ooa0se,illapse,L_STAY__R_UP
"a,pwvi;a",amoebula,L_LEFT__R_RIGHT
ww.weh,eelery,L_LEFT__R_DOWN
vguku,bhili,L_LEFT__R_LEFT
kn344knt.h,inerringly,L_UP__R_DOWN
x0ydhd,sphene,L_DOWN__R_UP
lch;kvtkv,oxypicric,L_RIGHT__R_DOWN
xgukkz,shilla,L_DOWN__R_LEFT
7hrb8ysnor,unevitable,L_RIGHT__R_UP
tiyyinhrtiyr,rittingerite,L_RIGHT__R_STAY
jn;flvdxxlfkz.,unprofessorial,L_DOWN__R_DOWN
tijrkudn,yokelism,L_RIGHT__R_LEFT
qgelm3n,abdomen,L_UP__R_DOWN
zmb;d[pc,anglepod,L_DOWN__R_RIGHT
imwqio;arwea;,unequilateral,L_LEFT__R_RIGHT
5344qnq4q,terramara,L_UP__R_LEFT
vsbskurt,cavalier,L_RIGHT__R_LEFT
3pi5hym35id,epithymetic,L_UP__R_STAY
xdmivolzgild,semivolatile,L_DOWN__R_STAY
cldficzd,cleridae,L_DOWN__R_STAY
reaca;w,travale,L_LEFT__R_RIGHT
nabudikskt,manifoldly,L_LEFT__R_LEFT
cpmbfoczd,congridae,L_DOWN__R_RIGHT
d;k;jbkx,epipubis,L_DOWN__R_DOWN
t34mqnomqniq,germanomania,L_UP__R_STAY
dptouyrt,sprouter,L_RIGHT__R_STAY
imdwofmomfmwaa,unfeigningness,L_LEFT__R_RIGHT
t8iia,tikka,L_STAY__R_UP
po;vi[,oilcup,L_RIGHT__R_RIGHT
.jne43ww,lundress,L_UP__R_DOWN
zsdxomd,awesome,L_DOWN__R_STAY
"ewxpmxwa;,wmr",reconcealment,L_LEFT__R_RIGHT
ravlwa,tables,L_LEFT__R_STAY
w700oqh5j3h5,supplantment,L_UP__R_UP
jnckbnkvkdcndxx,undignifiedness,L_DOWN__R_DOWN
aca8oavow,available,L_LEFT__R_UP
nuoitiyd,biporous,L_RIGHT__R_LEFT
"zx,zcl",asmack,L_DOWN__R_RIGHT
cjte.h,cutely,L_STAY__R_DOWN
mlnl5n3dq.,monothecal,L_UP__R_DOWN
sh9jso6,anomaly,L_RIGHT__R_UP
ievurideibrak,orbitofrontal,L_LEFT__R_LEFT
xcgdnzgikibdguczkkt,schematologetically,L_DOWN__R_LEFT
xibbfddc,subbreed,L_DOWN__R_RIGHT
095qj9t359hqd397w,potamogetonaceous,L_UP__R_UP
esttrbkujr,warrenlike,L_RIGHT__R_LEFT
3;k5q;nkw5,epitaphist,L_UP__R_DOWN
fibstt,donary,L_RIGHT__R_LEFT
qbtkiogiguq,anglophobia,L_UP__R_LEFT
xknwewlja,cinereous,L_LEFT__R_DOWN
bdnzohycfol,benzohydrol,L_DOWN__R_STAY
[fpgpgjdfozm,prototherian,L_DOWN__R_RIGHT
oitebtuinetruc,potentiometric,L_STAY__R_LEFT
pcwedeao;ru,overfrailty,L_LEFT__R_RIGHT
"q.,3n3",alkene,L_UP__R_DOWN
l33dh2o45,leechwort,L_UP__R_STAY
cpcl;ebpat,cockleboat,L_STAY__R_RIGHT
panxewozymin,pancreozymin,L_LEFT__R_STAY
vlsk.waa,bodiless,L_LEFT__R_DOWN
xaepoxearian,carpocratian,L_LEFT__R_STAY
",ow[4pr3ww",misprofess,L_UP__R_RIGHT
cjnner,cunner,L_STAY__R_DOWN
knter;retament,interpretament,L_STAY__R_DOWN
ce.kbatarkan,celibatarian,L_STAY__R_DOWN
xlmvjekmwreh,comburimetry,L_LEFT__R_DOWN
a;ouaj,aliyah,L_LEFT__R_RIGHT
poggdc,potted,L_DOWN__R_STAY
dq4lln,caroon,L_UP__R_DOWN
knrk4mq53,infirmate,L_UP__R_DOWN
xaxamrjeaz,cacanthrax,L_LEFT__R_RIGHT
a[ari;aropm,spatulation,L_LEFT__R_RIGHT
07dy8hh,pushing,L_RIGHT__R_UP
fe8008hwaa,grippiness,L_LEFT__R_UP
gotrptomidr,forepromise,L_RIGHT__R_STAY
wzwxureixwa,executrices,L_LEFT__R_STAY
oartucuoabt,participant,L_STAY__R_LEFT
dqee6,caddy,L_UP__R_UP
zxxdxx,assess,L_DOWN__R_LEFT
ragkng.h,ragingly,L_STAY__R_DOWN
7hs00t8drfhrdd,unapprisedness,L_RIGHT__R_UP
"vepp,u",broomy,L_LEFT__R_RIGHT
vicatuibakkt,vocationally,L_STAY__R_LEFT
xgz8fs9fi,stairwork,L_DOWN__R_UP
"b;z,dspfgjomdxx",blameworthiness,L_DOWN__R_RIGHT
"f;pro,amoa",florimania,L_STAY__R_RIGHT
8hyrttsv8so8dj,interracialism,L_RIGHT__R_UP
areka,atria,L_LEFT__R_DOWN
orvyuxsnkr,pectizable,L_RIGHT__R_LEFT
ystspon,tarapon,L_RIGHT__R_STAY
cpder,coder,L_STAY__R_RIGHT
7hbaoahced,unbalanced,L_STAY__R_UP
w708h3h3ww,supineness,L_UP__R_UP
ntinere,myomere,L_STAY__R_LEFT
;qmd3[pe,lancepod,L_UP__R_RIGHT
fzphicivdfoux,raphidiferous,L_DOWN__R_STAY
axuwbruduxifwifeaoguxak,scientificogeographical,L_LEFT__R_LEFT
fj.d.dxx,ruleless,L_DOWN__R_DOWN
eqm;3n,dampen,L_UP__R_DOWN
nunsinarion,nundination,L_LEFT__R_STAY
raliafw,taliage,L_LEFT__R_STAY
kebaeab,lenaean,L_STAY__R_LEFT
armjre,armure,L_STAY__R_DOWN
buookewirt,nipplewort,L_STAY__R_LEFT
tjmmq,gumma,L_UP__R_DOWN
wmcai;r,envault,L_LEFT__R_RIGHT
mz.bdnzvklf,malbehavior,L_DOWN__R_DOWN
j3tq0y959t4q0y6,megaphotography,L_UP__R_UP
ime3r3mw3e,undefensed,L_UP__R_RIGHT
tuydvgkusb,ritschlian,L_RIGHT__R_LEFT
viesb,cowan,L_RIGHT__R_LEFT
2ooay,woozy,L_UP__R_STAY
jq549ho6,matronly,L_UP__R_UP
gwewsiatogukua,heredosyphilis,L_LEFT__R_LEFT
mjxz.mznk,musalmani,L_DOWN__R_DOWN
hufflrmrny,huddlement,L_RIGHT__R_STAY
opm5p[jp43wow,iontophoresis,L_UP__R_RIGHT
;aeafnwkaa,paragneiss,L_LEFT__R_DOWN
y6h89o9h8dy,hygiologist,L_RIGHT__R_UP
asaj8rw,adamite,L_LEFT__R_UP
i5o;o5u,utility,L_UP__R_RIGHT
igo1io5q4u,ubiquitary,L_UP__R_RIGHT
",shmryoxsyopm",magnetization,L_RIGHT__R_RIGHT
g8g8zh,titian,L_DOWN__R_UP
7hswo8fyra9jw,undelightsome,L_LEFT__R_UP
a;;p[atju,allopathy,L_STAY__R_RIGHT
harhi,hathi,L_LEFT__R_STAY
omxixcd[govd,insusceptive,L_DOWN__R_RIGHT
winq5idtw5,somatocyst,L_UP__R_LEFT
cyffucykzf,curricular,L_DOWN__R_LEFT
tetrag;pttoc,tetraglottic,L_STAY__R_RIGHT
lnkyjstksn,obituarian,L_RIGHT__R_DOWN
bd;odv;dxx,beliefless,L_DOWN__R_RIGHT
shy8h9hr,antigone,L_RIGHT__R_UP
ubdenbufucatir,indemnificator,L_STAY__R_LEFT
qnwnnwaa,whenness,L_LEFT__R_DOWN
mpmfryso;rf,nondetailed,L_RIGHT__R_RIGHT
imq[[43doqg;3m3ww,unappreciableness,L_UP__R_RIGHT
"aarea,ankrw",astrakanite,L_LEFT__R_DOWN
xy9o8ajv,choliamb,L_LEFT__R_UP
bagnajubg,bagmaking,L_STAY__R_LEFT
;eatjeromg,leathering,L_STAY__R_RIGHT
rep[jox,trophic,L_LEFT__R_RIGHT
otrdoubiyd,prespinous,L_RIGHT__R_LEFT
4ljneqglj5n3ww,roundaboutness,L_UP__R_DOWN
;omw33e,linseed,L_UP__R_RIGHT
8hd9jg7w58go6,incombustibly,L_UP__R_UP
g3;q5dn3e,bepatched,L_UP__R_DOWN
faare90hw7j9h8x,gastropneumonic,L_LEFT__R_UP
pstrnvhyms,parenchyma,L_RIGHT__R_STAY
"d4q,gq,gi;33",crambambulee,L_UP__R_RIGHT
hq4ehqdk,hardhack,L_UP__R_STAY
hzllzbzloo,hallabaloo,L_DOWN__R_STAY
seollinfly,drollingly,L_LEFT__R_STAY
nltmsnkxrt,normanizer,L_RIGHT__R_DOWN
tibigraog,tonograph,L_STAY__R_LEFT
vounyrtyouvh,countertouch,L_RIGHT__R_STAY
desyete,desuete,L_STAY__R_LEFT
bhmnlb.lxxzgd,gymnoglossate,L_DOWN__R_DOWN
",pro;w",motile,L_LEFT__R_RIGHT
gdzxdoo8id,teasellike,L_DOWN__R_UP
bwvyka,nebula,L_LEFT__R_LEFT
cpmvdmdd,convenee,L_DOWN__R_RIGHT
pff;rhd,oddlegs,L_RIGHT__R_RIGHT
zamouaw,zamouse,L_LEFT__R_STAY
t4jn34k53,grunerite,L_UP__R_DOWN
xibxiyeaw,concourse,L_LEFT__R_LEFT
wkstened,wistened,L_STAY__R_DOWN
"stp,pdaea",stomodaea,L_STAY__R_RIGHT
xgzmcdfbfzxx,standergrass,L_DOWN__R_RIGHT
kecabiraceiys,lecanoraceous,L_STAY__R_LEFT
jnhjktldyts.,unguirostral,L_RIGHT__R_DOWN
xyodfzxxicuzgd,superassociate,L_DOWN__R_LEFT
qaerg,warth,L_LEFT__R_LEFT
q4mloqe,armload,L_UP__R_STAY
;dzf.kndxx,pearliness,L_DOWN__R_DOWN
;nejmlnltlmh,pneumonotomy,L_STAY__R_DOWN
8d9tea,idotea,L_STAY__R_UP
m35qfqnqekd,metavanadic,L_UP__R_DOWN
nitsbs,borana,L_RIGHT__R_LEFT
dikkt4u53,collyrite,L_UP__R_LEFT
imwdpi43e,unscoured,L_UP__R_RIGHT
stygully,artfully,L_RIGHT__R_STAY
judrp;uzatopm,hydrolyzation,L_STAY__R_RIGHT
ewapiexw;waamwaa,resourcelessness,L_LEFT__R_RIGHT
0dgf9o9b8czo,petrological,L_DOWN__R_UP
vajuw,bakie,L_LEFT__R_LEFT
[4p54qmw;q5opm,protranslation,L_UP__R_RIGHT
auwcwkujw,sievelike,L_LEFT__R_LEFT
",kn,k.h",kinkily,L_STAY__R_DOWN
zoikuxgzb,apolistan,L_DOWN__R_LEFT
oidyoiduyuib,postposition,L_RIGHT__R_LEFT
ubdinoqd5,incompact,L_UP__R_LEFT
ubqyeuguku5t,inaudibility,L_UP__R_LEFT
0oq53qwj,plateasm,L_UP__R_UP
akaagws,slashed,L_LEFT__R_LEFT
vozmdf,foamer,L_DOWN__R_STAY
xtkubseiswbseurw,cylindrodendrite,L_LEFT__R_LEFT
l;knklnarws.h,opinionatedly,L_LEFT__R_DOWN
nredlrdd,newsless,L_RIGHT__R_STAY
s[[tppg,approof,L_RIGHT__R_RIGHT
0ewx9h8zahxw,preconizance,L_LEFT__R_UP
hovvwr,hobbet,L_LEFT__R_STAY
dulphovstnonsyr,sulphocarbonate,L_RIGHT__R_STAY
vabdd,banff,L_LEFT__R_LEFT
.ktera.kst,literalist,L_STAY__R_DOWN
"[jpmprw;w,wrwe",phonotelemeter,L_LEFT__R_RIGHT
"[to,sys;",primatal,L_RIGHT__R_RIGHT
negakisayr,megalosaur,L_STAY__R_LEFT
h9har8xi6,nonsticky,L_LEFT__R_UP
xeuxirgtewirint,cricothyreotomy,L_LEFT__R_LEFT
do9brho6,slovenly,L_RIGHT__R_UP
yrfrt8hrtrhy,hederigerent,L_RIGHT__R_UP
j3h944y38d,menorrheic,L_UP__R_UP
d0rhvr,spence,L_RIGHT__R_UP
extrahat89hao,extranational,L_STAY__R_UP
jnkntervl.ved,unintervolved,L_STAY__R_DOWN
o7ct8fer97s,luctiferous,L_STAY__R_UP
eicweaisw,riverside,L_LEFT__R_STAY
skmwrnh.,dimethyl,L_LEFT__R_DOWN
j9jdhgzo,momental,L_DOWN__R_UP
q;5o5ieomq4oqm,altitudinarian,L_UP__R_RIGHT
bk;.znzf,biplanar,L_DOWN__R_DOWN
imarwem,unstern,L_LEFT__R_RIGHT
bzhdv7o,baneful,L_DOWN__R_UP
ogewbiaoaan,phrenospasm,L_LEFT__R_LEFT
o308e905349o9t6,lepidopterology,L_UP__R_UP
",w;ampos",melanoid,L_LEFT__R_RIGHT
43543q534,retreater,L_UP__R_RIGHT
"omrwerwe,oma;",interterminal,L_LEFT__R_RIGHT
xtbcic,syndoc,L_DOWN__R_LEFT
7h8yrt,uniter,L_RIGHT__R_UP
pow5ph5hiwid,postphthisic,L_UP__R_STAY
xz7cdjzh,sauceman,L_DOWN__R_UP
",rtoyrt",meriter,L_RIGHT__R_RIGHT
soatt8hg,slatting,L_STAY__R_UP
"sn,jd",ankus,L_RIGHT__R_DOWN
akbynubiktsus,albuminolysis,L_STAY__R_LEFT
oswadi;,ideaful,L_LEFT__R_RIGHT
im243mdj3e,unwrenched,L_UP__R_RIGHT
imjz;vdc,unhalved,L_DOWN__R_RIGHT
ao9hfa8sw,alongside,L_LEFT__R_UP
unmwraphoeixal,unmetaphorical,L_LEFT__R_STAY
[dgogpfu,petitory,L_DOWN__R_RIGHT
dp;ocjpce[ja;,dolichocephal,L_STAY__R_RIGHT
j9h9x6ar8swa,monocystidea,L_LEFT__R_UP
rpwwo;orodq5opm,fossilification,L_UP__R_RIGHT
"dav;wsp,",fabledom,L_LEFT__R_RIGHT
7hjaaiws,unmasked,L_LEFT__R_UP
jqntqeq,jangada,L_UP__R_STAY
;ljd3,pouce,L_UP__R_DOWN
firtgubj,forthink,L_STAY__R_LEFT
km;tkdln,imprison,L_RIGHT__R_DOWN
4qdnkl;q4q.hwkw,rachioparalysis,L_UP__R_DOWN
xzfcolyxix,sarcolysis,L_DOWN__R_STAY
d70rtv9jjrhysy9t,supercommentator,L_RIGHT__R_UP
zmdcdo,amedeo,L_DOWN__R_STAY
",ryscu;rmr",metaxylene,L_RIGHT__R_RIGHT
z;;fzkxz.,appraisal,L_DOWN__R_DOWN
yrv[smrv,tecpanec,L_RIGHT__R_RIGHT
nematlmanch,hematomancy,L_STAY__R_DOWN
fzclln,racoon,L_DOWN__R_DOWN
iyq48q,kharia,L_UP__R_UP
l.kglchtnemkc,oligocythemic,L_STAY__R_DOWN
dvitnyyuvskkt,scorbutically,L_RIGHT__R_LEFT
g76trasy,guytrash,L_STAY__R_UP
ysoi6,talky,L_RIGHT__R_UP
unho4owdopid,unhoroscopic,L_UP__R_STAY
ewhh89fwh,renniogen,L_LEFT__R_UP
5g4qbt,thrang,L_UP__R_LEFT
"aevpeodpe,",arboriform,L_LEFT__R_RIGHT
zcubzfuiyx,acinarious,L_DOWN__R_LEFT
abruoiktfant,antipolygamy,L_LEFT__R_LEFT
;q1i3q4,laquear,L_UP__R_RIGHT
jnrecek;ted,unreceipted,L_STAY__R_DOWN
caeopiamwaa,variousness,L_LEFT__R_RIGHT
qnnibiue,ammonoid,L_UP__R_LEFT
j9fg8v8dco6,mortifiedly,L_DOWN__R_UP
vstons;,caribal,L_RIGHT__R_RIGHT
svvitfsnkr,accordable,L_RIGHT__R_LEFT
543nq5iwqy4yw,trematosaurus,L_UP__R_LEFT
;.arhsaxrh.w,platydactyle,L_LEFT__R_DOWN
zkbixux,algosis,L_DOWN__R_LEFT
trucgecgys,trichechus,L_STAY__R_LEFT
reascertaknment,reascertainment,L_STAY__R_DOWN
hofnghumb,hornthumb,L_DOWN__R_STAY
axrknlmwrekxa.,actinometrical,L_LEFT__R_DOWN
6siis,yakka,L_RIGHT__R_UP
ayuggif,quittor,L_DOWN__R_LEFT
x9hax897ahwaa,consciousness,L_LEFT__R_UP
r943ih928ht,foreknowing,L_UP__R_UP
ybub5344yo53eb3ww,uninterruptedness,L_UP__R_LEFT
r9o6owhws8aj8hw,tolylenediamine,L_LEFT__R_UP
czmcdxcdmg,candescent,L_DOWN__R_RIGHT
w3528w3,setwise,L_UP__R_UP
p4ue3,prude,L_UP__R_STAY
7h8j0zxx89hzgd,unimpassionate,L_DOWN__R_UP
x.ajak.kksaw,clausiliidae,L_LEFT__R_DOWN
g33rh,beefy,L_UP__R_DOWN
wowxre9whxw0yao9fea0y6,electroencephalography,L_LEFT__R_UP
eogjteemtj;u,eighteenthly,L_STAY__R_RIGHT
7hfrtvtseo,undercrawl,L_RIGHT__R_UP
drj89no8b89h,semioblivion,L_RIGHT__R_UP
snh.kgkvsykln,anglification,L_RIGHT__R_DOWN
"qdd;o,q5oa3",acclimatize,L_UP__R_RIGHT
zkbkz.lxzjf,aigialosaur,L_DOWN__R_DOWN
x7ar7jao,custumal,L_LEFT__R_UP
cwefpvewr,vergobret,L_LEFT__R_RIGHT
jn43e33mqg.3n3ww,unredeemableness,L_UP__R_DOWN
wpq[2ppe,soapwood,L_UP__R_RIGHT
",pm,pirj",monmouth,L_LEFT__R_RIGHT
c8rewaxwhx6,vitrescency,L_LEFT__R_UP
girgyk,hoeful,L_RIGHT__R_LEFT
vubfictxguc,fibrocystic,L_DOWN__R_LEFT
nonfiwionql,nonvisional,L_UP__R_STAY
"4qmwp,",ransom,L_UP__R_RIGHT
0yaoo8cao,phallical,L_STAY__R_UP
vdg,vet,L_DOWN__R_UP
"ademp;o[p,a",adenolipoma,L_STAY__R_RIGHT
lvdfgddm,overteem,L_DOWN__R_DOWN
xi[dfdzfgj;u,superearthly,L_DOWN__R_RIGHT
lddqmh,occamy,L_UP__R_DOWN
synsnsdvsn,athabascan,L_RIGHT__R_DOWN
cfdzgionzfy,creationary,L_DOWN__R_STAY
htsvopid,gracious,L_RIGHT__R_RIGHT
zvgdfyzgcy,afterhatch,L_DOWN__R_UP
[dfocdmgfz;,pericentral,L_DOWN__R_RIGHT
unvansws,unbanded,L_LEFT__R_STAY
4qeoqmd3,radiance,L_UP__R_RIGHT
qjb33,aknee,L_UP__R_LEFT
dk4djmdkw3,circumcise,L_UP__R_DOWN
aulphuelwaa,sulphurless,L_LEFT__R_STAY
ingdfcfyxgzllizd,intercrystallize,L_DOWN__R_STAY
mknnkhdn,jinniyeh,L_DOWN__R_DOWN
trautirgiid,traitorhood,L_STAY__R_LEFT
vju;ogrtpid,chyliferous,L_RIGHT__R_RIGHT
jnvkgkzgdc,unvitiated,L_DOWN__R_DOWN
wi45uk3tyw,sortilegus,L_UP__R_LEFT
xnawrlalmksaw,chaetosomidae,L_LEFT__R_DOWN
;yl.rmsrsn,ptolemaean,L_RIGHT__R_DOWN
undq45oon3e,uncartooned,L_UP__R_STAY
stbagigusn,synagogism,L_STAY__R_LEFT
im[4p;pmt3e,unprolonged,L_UP__R_RIGHT
nrhsvgutioyrts,megachiroptera,L_RIGHT__R_LEFT
gtarwewxrint,hysterectomy,L_LEFT__R_LEFT
suaaerjeoa,dysarthria,L_LEFT__R_RIGHT
wdq48r6,scarify,L_UP__R_UP
0y9g9g609bfz0y6,phototypography,L_DOWN__R_UP
epmsp,rondo,L_LEFT__R_RIGHT
qbtkinqbuq,anglomania,L_UP__R_LEFT
hypno5iaqgl3,hypnotizable,L_UP__R_STAY
"giomea,am",guineaman,L_STAY__R_RIGHT
7h8hcreased,unincreased,L_STAY__R_UP
x7bgdffzhd97xhdxx,subterraneousness,L_DOWN__R_UP
iygxsdkk,outswell,L_DOWN__R_LEFT
o7j0w7di34,lumpsucker,L_UP__R_UP
bryytskudy,neutralist,L_RIGHT__R_LEFT
dln,don,L_STAY__R_DOWN
ubckubatuibak,inclinational,L_STAY__R_LEFT
"e3,pei;q5opm",demodulation,L_UP__R_RIGHT
v8c8he,vicine,L_STAY__R_UP
vo[;amae,biplanar,L_LEFT__R_RIGHT
a;wefj.a,spergula,L_LEFT__R_DOWN
0438he3g53eh3ww,preindebtedness,L_UP__R_UP
[pw5o;,postil,L_UP__R_RIGHT
j6c98h9js,myxoinoma,L_RIGHT__R_UP
damo,dani,L_STAY__R_RIGHT
oabnyg,panmug,L_STAY__R_LEFT
ro7i32945,flukewort,L_UP__R_UP
imcobmovodc,undignified,L_DOWN__R_RIGHT
kabgibarduc,langobardic,L_STAY__R_LEFT
[jfzxzb;d,phrasable,L_DOWN__R_RIGHT
0aw7s90ywhahryewhw,pseudophenanthrene,L_LEFT__R_UP
"imvpmgpt,rf;u",unconformedly,L_RIGHT__R_RIGHT
bibcfdcugif,noncreditor,L_DOWN__R_LEFT
cixxdfvicdzbld,disserviceable,L_DOWN__R_STAY
7h0f909fg89h,unproportion,L_DOWN__R_UP
poul54yp4oor,poultryproof,L_UP__R_STAY
[o;dwe,pilfer,L_LEFT__R_RIGHT
h9hs7009s8t89hao,nonsuppositional,L_STAY__R_UP
ixtzcuc,oxyacid,L_DOWN__R_LEFT
ybbegyukefyk,unbeguileful,L_STAY__R_LEFT
ybfrnsbfrf,undemanded,L_RIGHT__R_LEFT
"zf,zco;;ocoi,",armadillidium,L_DOWN__R_RIGHT
dytosddubhkt,surpassingly,L_RIGHT__R_LEFT
r3aah,fezzy,L_UP__R_DOWN
fusgbacj,fishback,L_STAY__R_LEFT
",o;;oa,[",milliamp,L_STAY__R_RIGHT
mjakx,music,L_LEFT__R_DOWN
whs9ax90w,endoscope,L_LEFT__R_UP
548g7qo,tribual,L_UP__R_UP
gzfgxgifb,hartshorn,L_DOWN__R_LEFT
w3hw8o8q,sensilia,L_UP__R_UP
aescnh.ean,aeschylean,L_STAY__R_DOWN
